isu,full_name,telegram,score
100001,Petrov Polina Sergeevna,@student_100001,44
100002,Vasiliev Alina Petrovich,@student_100002,70
100003,Smirnov Petr Ivanovna,@student_100003,98
100004,Morozov Polina Dmitrievna,@student_100004,79
100005,Sokolov Alexey Alexandrovna,@student_100005,45
100006,Sokolov Nikita Sergeevich,@student_100006,93
100007,Morozov Daria Andreevich,@student_100007,83
100008,Mikhailov Artem Mikhailovich,@student_100008,22
100009,Petrov Maria Andreevna,@student_100009,6
100010,Volkov Ksenia Dmitrievich,@student_100010,63
100011,Sidorov Polina Sergeevna,@student_100011,35
100012,Petrov Anastasia Mikhailovich,@student_100012,90
100013,Fedorov Polina Dmitrievna,@student_100013,19
100014,Popov Egor Mikhailovich,@student_100014,4
100015,Mikhailov Dmitry Dmitrievna,@student_100015,68
100016,Alekseev Elena Andreevich,@student_100016,97
100017,Vasiliev Mikhail Andreevna,@student_100017,37
100018,Petrov Egor Alexandrovna,@student_100018,19
100019,Vasiliev Alexey Sergeevna,@student_100019,48
100020,Kuznetsov Sergey Ivanovna,@student_100020,67
100021,Lebedev Artem Sergeevich,@student_100021,84
100022,Novikov Elena Petrovich,@student_100022,31
100023,Morozov Ksenia Mikhailovich,@student_100023,81
100024,Volkov Nikita Andreevna,@student_100024,29
100025,Smirnov Sofia Petrovna,@student_100025,14
100026,Volkov Dmitry Alexandrovna,@student_100026,0
100027,Morozov Polina Dmitrievna,@student_100027,67
100028,Sokolov Elena Dmitrievich,@student_100028,78
100029,Mikhailov Egor Ivanovna,@student_100029,57
100030,Ivanov Alexey Dmitrievich,@student_100030,11
100031,Vasiliev Sofia Sergeevna,@student_100031,47
100032,Volkov Maria Petrovich,@student_100032,77
100033,Mikhailov Daria Ivanovna,@student_100033,55
100034,Petrov Maria Alexandrovna,@student_100034,30
100035,Novikov Ivan Alexandrovich,@student_100035,44
100036,Lebedev Sergey Dmitrievich,@student_100036,41
100037,Lebedev Alina Ivanovich,@student_100037,23
100038,Volkov Petr Alexandrovna,@student_100038,28
100039,Alekseev Andrey Mikhailovich,@student_100039,66
100040,Petrov Maria Ivanovna,@student_100040,79
